城市编码,区域年鉴.年份,城市别名,级别
610800,1999,榆林市,地级市（区）
610900,1999,安康市,地级市（区）
611000,1999,商洛市,地级市（区）
620100,1999,兰州市,地级市（区）
620200,1999,嘉峪关市,地级市（区）
620300,1999,金昌市,地级市（区）
620400,1999,白银市,地级市（区）
620500,1999,天水市,地级市（区）
620600,1999,武威市,地级市（区）
620700,1999,张掖市,地级市（区）
620800,1999,平凉市,地级市（区）
620900,1999,酒泉市,地级市（区）
621000,1999,庆阳市,地级市（区）
621100,1999,定西市,地级市（区）
621200,1999,陇南市,地级市（区）
622900,1999,临夏回族自治州,地级市（区）
623000,1999,甘南藏族自治州,地级市（区）
630100,1999,西宁市,地级市（区）
632100,1999,海东地区,地级市（区）
632200,1999,海北藏族自治州,地级市（区）
632300,1999,黄南藏族自治州,地级市（区）
632500,1999,海南藏族自治州,地级市（区）
632600,1999,果洛藏族自治州,地级市（区）
632700,1999,玉树藏族自治州,地级市（区）
632800,1999,海西蒙古族藏族自治州,地级市（区）
640100,1999,银川市,地级市（区）
640200,1999,石嘴山市,地级市（区）
640300,1999,吴忠市,地级市（区）
640400,1999,固原市,地级市（区）
640500,1999,中卫市,地级市（区）
650100,1999,乌鲁木齐市,地级市（区）
650200,1999,克拉玛依市,地级市（区）
652100,1999,吐鲁番地区,地级市（区）
652200,1999,哈密地区,地级市（区）
652300,1999,昌吉回族自治州,地级市（区）
652700,1999,博尔塔拉蒙古自治州,地级市（区）
652800,1999,巴音郭楞蒙古自治州,地级市（区）
652900,1999,阿克苏地区,地级市（区）
653000,1999,克孜勒苏柯尔克孜自治州,地级市（区）
653100,1999,喀什地区,地级市（区）
653200,1999,和田地区,地级市（区）
654000,1999,伊犁哈萨克自治州,地级市（区）
654200,1999,塔城地区,地级市（区）
654300,1999,阿勒泰地区,地级市（区）
659001,1999,石河子市,省直辖县
659002,1999,阿拉尔市,省直辖县
659003,1999,图木舒克市,省直辖县
659004,1999,五家渠市,省直辖县
130100,2000,石家庄市,地级市（区）
130200,2000,唐山市,地级市（区）
130300,2000,秦皇岛市,地级市（区）
130400,2000,邯郸市,地级市（区）
130500,2000,邢台市,地级市（区）
130600,2000,保定市,地级市（区）
130700,2000,张家口市,地级市（区）
130800,2000,承德市,地级市（区）
130900,2000,沧州市,地级市（区）
131000,2000,廊坊市,地级市（区）
131100,2000,衡水市,地级市（区）
140100,2000,太原市,地级市（区）
140200,2000,大同市,地级市（区）
140300,2000,阳泉市,地级市（区）
140400,2000,长治市,地级市（区）
140500,2000,晋城市,地级市（区）
140600,2000,朔州市,地级市（区）
140700,2000,晋中市,地级市（区）
140800,2000,运城市,地级市（区）
140900,2000,忻州市,地级市（区）
141000,2000,临汾市,地级市（区）
141100,2000,吕梁市,地级市（区）
150100,2000,呼和浩特市,地级市（区）
150200,2000,包头市,地级市（区）
150300,2000,乌海市,地级市（区）
150400,2000,赤峰市,地级市（区）
150500,2000,通辽市,地级市（区）
150600,2000,鄂尔多斯市,地级市（区）
150700,2000,呼伦贝尔市,地级市（区）
150800,2000,巴彦淖尔市,地级市（区）
150900,2000,乌兰察布市,地级市（区）
152200,2000,兴安盟,地级市（区）
152500,2000,锡林郭勒盟,地级市（区）
152900,2000,阿拉善盟,地级市（区）
210100,2000,沈阳市,副省级城市
210200,2000,大连市,副省级城市
210300,2000,鞍山市,地级市（区）
210400,2000,抚顺市,地级市（区）
210500,2000,本溪市,地级市（区）
210600,2000,丹东市,地级市（区）
210700,2000,锦州市,地级市（区）
210800,2000,营口市,地级市（区）
210900,2000,阜新市,地级市（区）
211000,2000,辽阳市,地级市（区）
211100,2000,盘锦市,地级市（区）
211200,2000,铁岭市,地级市（区）
211300,2000,朝阳市,地级市（区）
211400,2000,葫芦岛市,地级市（区）
220100,2000,长春市,副省级城市
220200,2000,吉林市,地级市（区）
220300,2000,四平市,地级市（区）
220400,2000,辽源市,地级市（区）
220500,2000,通化市,地级市（区）
220600,2000,白山市,地级市（区）
220700,2000,松原市,地级市（区）
220800,2000,白城市,地级市（区）
222400,2000,延边朝鲜族自治州,地级市（区）
230100,2000,哈尔滨市,副省级城市
230200,2000,齐齐哈尔市,地级市（区）
230300,2000,鸡西市,地级市（区）
230400,2000,鹤岗市,地级市（区）
230500,2000,双鸭山市,地级市（区）
230600,2000,大庆市,地级市（区）
230700,2000,伊春市,地级市（区）
230800,2000,佳木斯市,地级市（区）
230900,2000,七台河市,地级市（区）
231000,2000,牡丹江市,地级市（区）
231100,2000,黑河市,地级市（区）
231200,2000,绥化市,地级市（区）
232700,2000,大兴安岭地区,地级市（区）
320100,2000,南京市,副省级城市
320200,2000,无锡市,地级市（区）
320300,2000,徐州市,地级市（区）
320400,2000,常州市,地级市（区）
320500,2000,苏州市,地级市（区）
320600,2000,南通市,地级市（区）
320700,2000,连云港市,地级市（区）
320800,2000,淮安市,地级市（区）
320900,2000,盐城市,地级市（区）
321000,2000,扬州市,地级市（区）
321100,2000,镇江市,地级市（区）
321200,2000,泰州市,地级市（区）
321300,2000,宿迁市,地级市（区）
330100,2000,杭州市,副省级城市
330200,2000,宁波市,副省级城市
330300,2000,温州市,地级市（区）
330400,2000,嘉兴市,地级市（区）
330500,2000,湖州市,地级市（区）
330600,2000,绍兴市,地级市（区）
330700,2000,金华市,地级市（区）
330800,2000,衢州市,地级市（区）
330900,2000,舟山市,地级市（区）
331000,2000,台州市,地级市（区）
331100,2000,丽水市,地级市（区）
340100,2000,合肥市,地级市（区）
340200,2000,芜湖市,地级市（区）
340300,2000,蚌埠市,地级市（区）
340400,2000,淮南市,地级市（区）
340500,2000,马鞍山市,地级市（区）
340600,2000,淮北市,地级市（区）
340700,2000,铜陵市,地级市（区）
340800,2000,安庆市,地级市（区）
341000,2000,黄山市,地级市（区）
341100,2000,滁州市,地级市（区）
341200,2000,阜阳市,地级市（区）
341300,2000,宿州市,地级市（区）
341400,2000,巢湖市,地级市（区）
341500,2000,六安市,地级市（区）
341600,2000,亳州市,地级市（区）
341700,2000,池州市,地级市（区）
341800,2000,宣城市,地级市（区）
350100,2000,福州市,地级市（区）
350200,2000,厦门市,副省级城市
350300,2000,莆田市,地级市（区）
350400,2000,三明市,地级市（区）
350500,2000,泉州市,地级市（区）
350600,2000,漳州市,地级市（区）
350700,2000,南平市,地级市（区）
350800,2000,龙岩市,地级市（区）
350900,2000,宁德市,地级市（区）
360100,2000,南昌市,地级市（区）
360200,2000,景德镇市,地级市（区）
360300,2000,萍乡市,地级市（区）
360400,2000,九江市,地级市（区）
360500,2000,新余市,地级市（区）
360600,2000,鹰潭市,地级市（区）
360700,2000,赣州市,地级市（区）
360800,2000,吉安市,地级市（区）
360900,2000,宜春市,地级市（区）
361000,2000,抚州市,地级市（区）
361100,2000,上饶市,地级市（区）
370100,2000,济南市,副省级城市
370200,2000,青岛市,副省级城市
370300,2000,淄博市,地级市（区）
370400,2000,枣庄市,地级市（区）
370500,2000,东营市,地级市（区）
370600,2000,烟台市,地级市（区）
370700,2000,潍坊市,地级市（区）
370800,2000,济宁市,地级市（区）
370900,2000,泰安市,地级市（区）
371000,2000,威海市,地级市（区）
371100,2000,日照市,地级市（区）
371200,2000,莱芜市,地级市（区）
371300,2000,临沂市,地级市（区）
371400,2000,德州市,地级市（区）
371500,2000,聊城市,地级市（区）
371600,2000,滨州市,地级市（区）
371700,2000,菏泽市,地级市（区）
410100,2000,郑州市,地级市（区）
410200,2000,开封市,地级市（区）
410300,2000,洛阳市,地级市（区）
410400,2000,平顶山市,地级市（区）
410500,2000,安阳市,地级市（区）
410600,2000,鹤壁市,地级市（区）
410700,2000,新乡市,地级市（区）
