,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
1,孙永春,男,汉族,6/12/1957,山东省,潍坊市,寿光市,硕士,7/1/1976,在职,,,,,,,,,,,,,,,,
2,雷建国,男,汉族,4/1/1955,河北省,保定市,高碑店市,硕士,8/1/1974,在职,,,,,,,,,,,,,,,,
3,黄胜,男,汉族,9/11/1954,山东省,威海市,,硕士,5/1/1975,立案查处,是,贪污腐败,,否,11/24/2011,中纪委,是,受贿罪,1223万人民币,4/8/2013,江苏省,南京市,无期徒刑,否,,
4,吴翠云,女,汉族,9/1/1958,山东省,淄博市,周村区,硕士,5/1/1976,在职,,,,,,,,,,,,,,,,
5,陈先运,男,汉族,9/1/1962,山东省,菏泽市,成武县,博士,6/1/1984,在职,,,,,,,,,,,,,,,,
6,郭兆信,男,汉族,9/1/1951,山东省,临沂市,平邑县,硕士,4/1/1973,在职,,,,,,,,,,,,,,,,
7,宋远方,男,汉族,8/1/1957,河北省,邢台市,隆尧县,博士后,7/1/1985,在职,,,,,,,,,,,,,,,,
8,张秋波,男,汉族,10/12/1953,山东省,青岛市,莱西市,硕士,1/1/1977,在职,,,,,,,,,,,,,,,,
9,林峰海,男,汉族,7/1/1962,山东省,烟台市,栖霞市,本科,7/1/1985,在职,,,,,,,,,,,,,,,,
10,石军,男,汉族,11/1/1952,山东省,东营市,利津县,博士,12/1/1973,退休,,,,,,,,,,,,,,,,
11,姜杰,男,汉族,10/1/1965,山东省,青岛市,胶州市,博士,4/1/1985,在职,,,,,,,,,,,,,,,,
12,刘国信,男,汉族,9/1/1946,山东省,威海市,荣成市,本科,8/1/1966,退休,,,,,,,,,,,,,,,,
13,张建华,男,汉族,7/1/1954,山东省,烟台市,,硕士,7/1/1973,在职,,,,,,,,,,,,,,,,
14,孙守璞,男,汉族,10/1/1946,山东省,烟台市,牟平区,硕士,7/1/1966,退休,,,,,,,,,,,,,,,,
15,崔曰臣,男,汉族,11/1/1949,山东省,德州市,平原县,专科,8/1/1976,在职,,,,,,,,,,,,,,,,
16,王培廷,男,汉族,1/1/1953,山东省,临沂市,费县,专科,3/1/1976,在职,,,,,,,,,,,,,,,,
17,孙述涛,男,汉族,1/1/1965,山东省,潍坊市,高密市,博士,11/1/1985,在职,,,,,,,,,,,,,,,,
18,张惠,女,汉族,4/1/1967,山东省,烟台市,,硕士,6/1/1988,在职,,,,,,,,,,,,,,,,
19,吴官正,男,汉族,8/1/1938,江西省,上饶市,余干县,硕士,3/1/1962,退休,,,,,,,,,,,,,,,,
20,张高丽,男,汉族,11/1/1946,福建省,泉州市,晋江市,本科,12/1/1973,在职,,,,,,,,,,,,,,,,
21,李建国(山东省),男,汉族,4/1/1946,山东省,菏泽市,鄄城县,本科,6/1/1971,在职,,,,,,,,,,,,,,,,
22,姜异康,男,汉族,1/1/1953,山东省,烟台市,招远市,硕士,12/1/1970,在职,,,,,,,,,,,,,,,,
23,韩寓群,男,汉族,9/1/1943,江苏省,徐州市,睢宁县,本科,12/1/1975,退休,,,,,,,,,,,,,,,,
24,姜大明,男,汉族,3/1/1953,山东省,威海市,荣成市,硕士,12/1/1976,在职,,,,,,,,,,,,,,,,
25,邓向阳,男,汉族,6/1/1961,山东省,威海市,荣成市,本科,7/1/1985,在职,,,,,,,,,,,,,,,,
26,孙德汉,男,汉族,11/1/1950,山东省,烟台市,,硕士,4/1/1973,退休,,,,,,,,,,,,,,,,
27,王宗廉,男,汉族,7/1/1944,山东省,临沂市,,硕士,7/1/1971,退休,,,,,,,,,,,,,,,,
28,安世银,男,汉族,1/1/1954,山东省,聊城市,东阿县,专科,2/1/1975,在职,,,,,,,,,,,,,,,,
29,张光峰,男,汉族,5/1/1968,山东省,德州市,平原县,硕士,6/1/1992,在职,,,,,,,,,,,,,,,,
30,李明先,男,汉族,1/1/1945,山东省,烟台市,蓬莱县,本科,7/1/1982,退休,,,,,,,,,,,,,,,,
31,陈光,男,汉族,11/1/1956,山东省,潍坊市,寿光县,本科,12/1/1975,在职,,,,,,,,,,,,,,,,
32,赵润田,男,汉族,9/1/1956,河南省,濮阳市,台前县,本科,8/1/1984,在职,,,,,,,,,,,,,,,,
33,杜昌文,男,汉族,10/1/1957,山东省,济宁市,嘉祥县,硕士,1/1/1976,在职,,,,,,,,,,,,,,,,
34,刘士合,男,汉族,1/1/1955,山东省,滨州市,沾化县,硕士,12/1/1980,退休,,,,,,,,,,,,,,,,
35,孙爱军,男,汉族,3/1/1972,山东省,青岛市,平度县,博士,5/1/1993,在职,,,,,,,,,,,,,,,,
36,贾万志,男,汉族,10/1/1952,山东省,枣庄市,滕州市,硕士,5/1/1975,在职,,,,,,,,,,,,,,,,
37,马平昌,男,汉族,2/1/1957,山东省,淄博市,,硕士,12/1/1976,在职,,,,,,,,,,,,,,,,
38,孙守刚,男,汉族,8/1/1965,山东省,东营市,利津县,硕士,1/1/1984,在职,,,,,,,,,,,,,,,,
39,张振川,男,汉族,5/1/1954,山东省,烟台市,栖霞县,硕士,12/1/1976,退休,,,,,,,,,,,,,,,,
40,周齐,男,汉族,11/1/1949,江苏省,无锡市,宜兴市,本科,7/1/1972,退休,,,,,,,,,,,,,,,,
41,吕在模,男,汉族,11/1/1954,山东省,威海市,乳山市,专科,12/1/1972,立案查处,是,违纪,,否,7/28/2014,山东省纪委,,,,,,,,,,
42,梅永红,男,汉族,9/1/1965,湖北省,黄冈市,黄梅县,硕士,12/1/1986,在职,,,,,,,,,,,,,,,,
43,张传林,男,汉族,5/1/1952,山东省,日照市,,硕士,11/1/1971,在职,,,,,,,,,,,,,,,,
44,马金忠,男,汉族,1/1/1949,山东省,潍坊市,寿光市,专科,2/1/1971,退休,,,,,,,,,,,,,,,,
45,刘玉祥(山东省),男,汉族,5/1/1952,山东省,滨州市,博兴县,硕士,3/1/1972,退休,,,,,,,,,,,,,,,,
46,陈伟(浙江省),男,汉族,10/1/1966,浙江省,金华市,,博士,2/1/1987,立案查处,是,贪污腐败,,否,2/28/2015,山东省纪委,,,,,,,,,,
47,张术平,男,汉族,1/1/1964,山东省,潍坊市,诸城市,硕士,6/1/1985,在职,,,,,,,,,,,,,,,,
48,耿文清,男,汉族,10/1/1955,山东省,潍坊市,青州市,硕士,5/1/1984,立案查处,是,贪污腐败,,否,,,,,,,,,,,,
49,李洪峰,男,汉族,6/1/1956,山东省,潍坊市,青州市,硕士,11/1/1975,在职,,,,,,,,,,,,,,,,
50,鲍志强,男,汉族,2/1/1949,山东省,青岛市,胶州县,硕士,12/1/1973,退休,,,,,,,,,,,,,,,,
51,杨鲁豫,男,汉族,3/1/1957,山东省,日照市,莒县,博士,7/1/1985,在职,,,,,,,,,,,,,,,,
52,贾学英,男,汉族,9/1/1953,山东省,菏泽市,鄄城县,专科,4/1/1976,在职,,,,,,,,,,,,,,,,
53,王云鹏,男,汉族,11/1/1961,山东省,菏泽市,巨野县,硕士,8/1/1982,在职,,,,,,,,,,,,,,,,
54,李玉妹,女,汉族,10/1/1956,山东省,临沂市,沂南县,硕士,4/1/1976,在职,,,,,,,,,,,,,,,,
55,于建成,男,汉族,11/1/1953,山东省,威海市,文登市,专科,12/1/1973,在职,,,,,,,,,,,,,,,,
56,刘富春,男,汉族,2/1/1950,山东省,德州市,夏津县,硕士,1/1/1971,退休,,,,,,,,,,,,,,,,
57,杨宜新,男,汉族,5/1/1964,湖北省,荆州市,公安县,硕士,4/1/1988,在职,,,,,,,,,,,,,,,,
58,于希信,男,汉族,4/1/1950,山东省,烟台市,招远市,专科,4/1/1973,退休,,,,,,,,,,,,,,,,
59,乔延春,男,汉族,8/1/1948,山东省,烟台市,龙口市,本科,1/1/1972,退休,,,,,,,,,,,,,,,,
60,李群,男,汉族,2/1/1962,山东省,威海市,文登市,博士,5/1/1984,在职,,,,,,,,,,,,,,,,
61,连承敏,男,汉族,3/1/1951,山东省,威海市,荣成市,本科,12/1/1972,退休,,,,,,,,,,,,,,,,
62,张少军,男,汉族,10/1/1955,山东省,潍坊市,临朐县,硕士,12/1/1981,在职,,,,,,,,,,,,,,,,
63,张务锋,男,汉族,10/1/1960,山东省,莱芜市,,硕士,3/1/1984,在职,,,,,,,,,,,,,,,,
64,焉荣竹,男,汉族,11/1/1952,山东省,威海市,乳山市,硕士,9/1/1971,在职,,,,,,,,,,,,,,,,
65,张江汀,男,汉族,10/1/1961,山东省,潍坊市,昌邑县,硕士,12/1/1984,在职,,,,,,,,,,,,,,,,
66,王良,男,汉族,6/1/1964,山东省,威海市,乳山市,硕士,3/1/1985,在职,,,,,,,,,,,,,,,,
67,张惠来,男,汉族,12/1/1942,山东省,威海市,荣成市,本科,1/1/1970,退休,,,,,,,,,,,,,,,,
68,杜世成,男,汉族,3/1/1950,山东省,烟台市,龙口市,硕士,12/1/1972,立案查处,是,贪污腐败,,否,12/24/2006,中纪委,是,受贿罪,626万人民币,2/6/2008,福建省,厦门市,无期徒刑,否,,
69,阎启俊,男,汉族,5/1/1950,山东省,滨州市,博兴县,本科,1/1/1972,在职,,,,,,,,,,,,,,,,
70,夏耕,男,汉族,1/1/1957,黑龙江省,哈尔滨市,五常市,博士,12/1/1984,在职,,,,,,,,,,,,,,,,
71,张新起,男,汉族,8/1/1956,山东省,威海市,荣成市,硕士,3/1/1977,在职,,,,,,,,,,,,,,,,
72,张建国,男,汉族,1/1/1954,山东省,滨州市,沾化县,硕士,9/1/1973,在职,,,,,,,,,,,,,,,,
73,刘慧晏,男,汉族,6/1/1964,山东省,烟台市,招远市,博士,4/1/1987,在职,,,,,,,,,,,,,,,,
74,周清利,男,汉族,10/1/1954,山东省,滨州市,惠民县,硕士,1/1/1975,退休,,,,,,,,,,,,,,,,
75,曹学成,男,汉族,1/1/1947,山东省,泰安市,新泰市,硕士,1/1/1966,退休,,,,,,,,,,,,,,,,
76,王伯祥,男,汉族,2/1/1943,山东省,潍坊市,寿光市,高中,12/1/1965,退休,,,,,,,,,,,,,,,,
77,许立全,男,汉族,5/1/1955,山东省,聊城市,,博士,1/1/1982,在职,,,,,,,,,,,,,,,,
78,刘曙光,男,汉族,11/1/1962,山东省,威海市,文登市,硕士,11/1/1984,在职,,,,,,,,,,,,,,,,
79,李兆前,男,汉族,1/1/1962,山东省,青岛市,胶州市,博士,12/1/1984,在职,,,,,,,,,,,,,,,,
80,杨军,男,汉族,11/1/1959,山东省,青岛市,,硕士,3/1/1983,在职,,,,,,,,,,,,,,,,
81,赵效为,男,汉族,7/1/1957,山东省,菏泽市,鄄城县,博士,11/1/1976,在职,,,,,,,,,,,,,,,,
82,李同道,男,汉族,4/1/1964,山东省,潍坊市,寿光市,博士,3/1/1989,在职,,,,,,,,,,,,,,,,
83,谢玉堂,男,汉族,2/1/1946,山东省,烟台市,栖霞县,高中,6/1/1966,退休,,,,,,,,,,,,,,,,
84,孙淑义,男,汉族,11/1/1945,山东省,济南市,商河县,专科,1/1/1971,立案查处,,违纪,,否,12/17/2009,中纪委,,,,,,,,,,
85,胡苏平,女,汉族,8/1/1956,山西省,忻州市,五台县,博士,2/1/1975,在职,,,,,,,,,,,,,,,,
86,黄有泉,男,汉族,4/1/1946,山西省,运城市,稷山县,专科,7/1/1966,退休,,,,,,,,,,,,,,,,
87,白云,女,汉族,12/1/1960,山西省,忻州市,五台县,硕士,12/1/1979,立案查处,是,贪污腐败,,,8/29/2014,中纪委,,,,,,,,,,
88,张茂才,男,汉族,9/1/1954,山西省,忻州市,保德县,硕士,10/1/1974,在职,,,,,,,,,,,,,,,,
89,高卫东,男,汉族,11/1/1957,山西省,吕梁市,离石区,硕士,6/1/1986,在职,,,,,,,,,,,,,,,,
90,王守祯,男,汉族,11/1/1951,山西省,晋中市,寿阳县,硕士,1/1/1970,退休,,,,,,,,,,,,,,,,
91,王安庞,男,汉族,5/1/1958,山西省,长治市,长子县,硕士,3/1/1978,在职,,,,,,,,,,,,,,,,
92,张少农,男,汉族,7/1/1954,山西省,长治市,沁县,本科,3/1/1974,在职,,,,,,,,,,,,,,,,
93,李雁红,男,汉族,9/1/1952,山西省,阳泉市,盂县,硕士,10/1/1974,在职,,,,,,,,,,,,,,,,
94,贺锐,男,汉族,8/1/1944,山西省,大同市,阳高县,本科,9/1/1973,退休,,,,,,,,,,,,,,,,
95,夏振贵,男,汉族,9/1/1956,山西省,朔州市,应县,硕士,3/1/1978,降/辞/撤职,否,责任事故,,是,9/20/2008,山西省纪委,否,,,,,,,,,
96,王茂设,男,汉族,8/1/1957,山西省,临汾市,安泽县,硕士,4/1/1982,立案查处,,贪污腐败,,否,8/19/2014,山西省纪委,,,,,,,,,,
97,王清宪,男,汉族,7/1/1963,河北省,邯郸市,永年县,博士,8/1/1986,在职,,,,,,,,,,,,,,,,
98,樊纪亨,男,汉族,7/1/1944,山西省,临汾市,安泽县,本科,12/1/1971,退休,,,,,,,,,,,,,,,,
99,王国正,男,汉族,1/1/1952,山西省,运城市,万荣县,硕士,9/1/1984,退休,,,,,,,,,,,,,,,,
100,谢海,男,汉族,10/1/1953,山西省,忻州市,繁峙县,本科,3/1/1974,在职,,,,,,,,,,,,,,,,
101,李天太,男,汉族,3/1/1957,山西省,朔州市,,博士,12/1/1976,降/辞/撤职,否,责任事故,,是,12/18/2007,,,,,,,,,,,
102,刘志杰,男,汉族,11/1/1962,山西省,晋中市,榆次区,硕士,1/1/1982,降/辞/撤职,否,责任事故,,是,9/1/2008,,,,,,,,,,,
103,罗清宇,男,汉族,10/1/1963,山西省,忻州市,原平县,硕士,6/1/1986,在职,,,,,,,,,,,,,,,,
104,岳普煜,男,汉族,10/1/1959,山西省,太原市,,博士,9/1/1985,在职,,,,,,,,,,,,,,,,
105,吕日周,男,汉族,1/1/1945,山西省,大同市,,本科,,退休,,,,,,,,,,,,,,,,
106,张兵生,男,汉族,9/1/1955,山西省,临汾市,襄汾县,本科,1/1/1975,降/辞/撤职,否,违纪,,是,2/18/2011,,否,,,,,,,,,
107,杜善学,男,汉族,2/1/1956,山西省,运城市,临猗县,硕士,1/1/1975,立案查处,是,贪污腐败,,,6/19/2014,中纪委,,,,,,,,,,
108,田喜荣,男,汉族,11/1/1955,山西省,忻州市,宁武县,本科,5/1/1975,在职,,,,,,,,,,,,,,,,
109,张保,男,汉族,9/1/1957,山西省,忻州市,,硕士,9/1/1976,立案查处,是,贪污腐败,,否,8/18/2014,山西省纪委,是,滥用职权罪、受贿罪,,4/1/2015,山西省,阳泉市,13年有期徒刑,是,,
110,刘俊谦,男,汉族,8/1/1947,河北省,保定市,阜平县,硕士,,退休,,,,,,,,,,,,,,,,
111,吴清海,男,汉族,11/1/1962,陕西省,西安市,临潼区,本科,3/1/1992,在职,,,,,,,,,,,,,,,,
112,张璞,男,汉族,9/1/1956,山西省,临汾市,,硕士,6/1/1976,在职,,,,,,,,,,,,,,,,
113,李永宏,男,汉族,10/1/1952,山西省,临汾市,翼城县,硕士,9/1/1984,在职,,,,,,,,,,,,,,,,
114,王雅安,男,汉族,10/1/1949,山西省,运城市,垣曲县,本科,7/1/1973,退休,,,,,,,,,,,,,,,,
115,郭海亮,男,汉族,10/1/1951,山西省,吕梁市,岚县,硕士,9/1/1972,退休,,,,,,,,,,,,,,,,
116,丁雪峰,男,汉族,9/1/1963,山西省,大同市,左云县,硕士,8/1/1986,立案查处,,贪污腐败,,,2/20/2014,,,,,,,,,,,
117,云公民,男,蒙古族,9/1/1950,内蒙古自治区,呼和浩特市,,本科,1/1/1979,退休,,,,,,,,,,,,,,,,
118,申维辰,男,汉族,5/1/1956,山西省,长治市,潞城县,硕士,1/1/1979,立案查处,是,贪污腐败,,否,4/12/2014,中纪委,是,,,,,,,,,
119,陈川平,男,汉族,2/1/1962,山西省,运城市,平陆县,硕士,3/1/1985,立案查处,是,贪污腐败,,否,8/23/2014,中纪委,是,,,,,,,,,
120,廉毅敏,男,汉族,3/1/1964,山西省,晋中市,平遥县,博士,7/1/1984,在职,,,,,,,,,,,,,,,,
121,耿彦波,男,汉族,11/1/1958,山西省,晋中市,和顺县,硕士,12/1/1981,在职,,,,,,,,,,,,,,,,
122,吕德功,男,汉族,7/1/1948,山西省,太原市,娄烦县,硕士,2/1/1973,退休,,,,,,,,,,,,,,,,
123,张怀文,男,汉族,11/1/1947,山西省,晋中市,榆社县,,,退休,,,,,,,,,,,,,,,,
124,耿怀英,男,汉族,7/1/1950,山西省,晋中市,昔阳县,硕士,5/1/1968,退休,,,,,,,,,,,,,,,,
125,李平社,男,汉族,12/1/1955,山西省,晋城市,阳城县,硕士,5/1/1978,退休,,,,,,,,,,,,,,,,
126,郑连生,男,汉族,4/1/1965,山西省,长治市,潞城县,硕士,2/1/1985,在职,,,,,,,,,,,,,,,,
127,张建欣,女,汉族,10/1/1955,河北省,石家庄市,无极县,硕士,6/1/1975,在职,,,,,,,,,,,,,,,,
128,郭良孝,男,汉族,1/1/1952,山西省,吕梁市,孝义县,本科,3/1/1971,退休,,,,,,,,,,,,,,,,
129,洪发科,男,汉族,10/1/1956,山西省,临汾市,曲沃县,硕士,1/1/1979,立案查处,,贪污腐败,,,,,,,,,,,,,,
130,程步云,男,汉族,11/1/1945,山西省,忻州市,河曲县,本科,9/1/1973,退休,,,,,,,,,,,,,,,,
131,李栋梁,男,汉族,8/1/1958,山西省,大同市,左云县,硕士,5/1/1977,在职,,,,,,,,,,,,,,,,
132,阎沁生,男,汉族,9/1/1948,山西省,长治市,沁县,专科,7/1/1971,退休,,,,,,,,,,,,,,,,
133,冯改朵,女,汉族,8/1/1957,山西省,运城市,稷山县,硕士,9/1/1976,在职,,,,,,,,,,,,,,,,
134,李正印,男,汉族,8/1/1962,山西省,长治市,武乡县,硕士,6/1/1984,在职,,,,,,,,,,,,,,,,
135,高建民,男,汉族,11/1/1960,山西省,阳泉市,盂县,博士,12/1/1982,在职,,,,,,,,,,,,,,,,
136,来玉龙,男,汉族,11/1/1945,山西省,朔州市,应县,本科,4/1/1966,退休,,,,,,,,,,,,,,,,
137,丰立祥,男,汉族,8/1/1957,山西省,朔州市,山阴县,博士,9/1/1976,立案查处,,贪污腐败,,,10/15/2014,山西省纪委,,,,,,,,,,
138,孙辅智,男,汉族,1/1/1945,山西省,大同市,阳高县,本科,11/1/1973,退休,,,,,,,,,,,,,,,,
139,李俊明,男,汉族,4/1/1960,山西省,忻州市,定襄县,硕士,11/1/1980,在职,,,,,,,,,,,,,,,,
140,袁纯清,男,汉族,3/1/1952,湖南省,常德市,汉寿县,博士后,10/1/1971,在职,,,,,,,,,,,,,,,,
141,王君,男,汉族,3/1/1952,山西省,大同市,,硕士,7/1/1977,在职,,,,,,,,,,,,,,,,
142,汤涛,男,汉族,7/1/1962,湖北省,黄冈市,英山县,硕士,10/1/1984,在职,,,,,,,,,,,,,,,,
143,李小鹏,男,汉族,6/1/1959,四川省,成都市,,本科,5/1/1985,在职,,,,,,,,,,,,,,,,
144,金道铭,男,满族,12/1/1953,北京市,,,硕士,9/1/1975,立案查处,是,贪污腐败,,,2/27/2014,中纪委,,,,,,,,,,
145,王建明,男,汉族,12/1/1962,福建省,漳州市,,硕士,11/1/1983,在职,,,,,,,,,,,,,,,,
146,田成平,男,汉族,1/1/1945,河北省,邯郸市,大名县,本科,4/1/1964,退休,,,,,,,,,,,,,,,,
147,张宝顺,男,汉族,2/1/1950,河北省,秦皇岛市,,硕士,4/1/1971,在职,,,,,,,,,,,,,,,,
148,刘振华,男,汉族,5/1/1940,山东省,莱芜市,,本科,9/1/1974,退休,,,,,,,,,,,,,,,,
149,于幼军,男,汉族,1/1/1953,江苏省,徐州市,丰县,博士,6/1/1976,降/辞/撤职,否,违纪,利用职权为其亲属牟取巨额利润,是,9/5/2008,,,,,,,,,,,
150,孟学农,男,汉族,8/1/1949,山东省,烟台市,蓬莱县,硕士,7/1/1972,降/辞/撤职,否,责任事故,,是,9/1/2008,,,,,,,,,,,
151,刘泽民,男,汉族,7/1/1944,山西省,吕梁市,临县,高中,12/1/1960,退休,,,,,,,,,,,,,,,,
152,侯伍杰,男,汉族,9/1/1945,山西省,阳泉市,盂县,硕士,7/1/1966,立案查处,是,贪污腐败,,否,12/9/2004,中纪委,是,受贿罪,人民币88万元,9/18/2006,北京市,,11年有期徒刑,否,,
153,金银焕,女,汉族,3/1/1952,山西省,太原市,阳曲县,本科,5/1/1971,死亡,,,,,,,,,,,,,,,,
154,薛延忠,男,汉族,2/1/1954,山西省,吕梁市,孝义县,硕士,9/1/1981,在职,,,,,,,,,,,,,,,,
155,任泽民,男,汉族,5/1/1954,贵州省,贵阳市,,本科,6/1/1978,在职,,,,,,,,,,,,,,,,
156,薛军,男,汉族,11/1/1942,山西省,吕梁市,柳林县,本科,1/1/1966,退休,,,,,,,,,,,,,,,,
157,范堆相,男,汉族,8/1/1946,山西省,晋城市,泽州县,硕士,12/1/1972,退休,,,,,,,,,,,,,,,,
158,杜玉林,男,汉族,6/1/1950,山西省,忻州市,河曲县,硕士,7/1/1969,退休,,,,,,,,,,,,,,,,
159,申联彬,男,汉族,3/1/1950,山西省,长治市,黎城县,硕士,4/1/1970,退休,,,,,,,,,,,,,,,,
160,李政文,男,汉族,2/1/1952,山西省,运城市,垣曲县,硕士,1/1/1971,在职,,,,,,,,,,,,,,,,
161,王显政,男,汉族,8/1/1946,辽宁省,阜新市,彰武县,本科,5/1/1982,退休,,,,,,,,,,,,,,,,
162,陈宝根,男,汉族,7/1/1953,甘肃省,临夏回族自治州,,硕士,6/1/1974,在职,,,,,,,,,,,,,,,,
163,崔林涛,男,汉族,4/1/1942,陕西省,宝鸡市,千阳县,专科,4/1/1966,退休,,,,,,,,,,,,,,,,
164,冯煦初,男,汉族,11/1/1943,湖北省,武汉市,黄陂区,本科,,退休,,,,,,,,,,,,,,,,
165,孙清云,男,汉族,10/1/1954,山东省,德州市,陵县,硕士,11/1/1971,在职,,,,,,,,,,,,,,,,
166,魏民洲,男,汉族,8/1/1956,陕西省,渭南市,蒲城县,硕士,7/1/1975,在职,,,,,,,,,,,,,,,,
167,董军,男,汉族,1/1/1956,陕西省,渭南市,韩城区,硕士,1/1/1974,在职,,,,,,,,,,,,,,,,
168,李仲为,男,汉族,2/1/1956,陕西省,咸阳市,泾阳县,硕士,4/1/1982,在职,,,,,,,,,,,,,,,,
169,魏增军,男,汉族,5/1/1960,陕西省,西安市,,硕士,9/1/1982,在职,,,,,,,,,,,,,,,,
170,杨冠军,男,汉族,4/1/1963,河南省,许昌市,禹州县,博士,8/1/1992,在职,,,,,,,,,,,,,,,,
171,郭青,男,汉族,10/1/1963,河北省,衡水市,故城县,本科,6/1/1984,在职,,,,,,,,,,,,,,,,
172,方玮峰,男,汉族,6/1/1966,河南省,许昌市,禹州县,本科,6/1/1985,在职,,,,,,,,,,,,,,,,
173,黄玮,女,汉族,8/1/1952,河南省,南阳市,社旗县,硕士,4/1/1985,在职,,,,,,,,,,,,,,,,
174,刘建明,男,汉族,5/1/1953,陕西省,安康市,汉滨区,硕士,4/1/1975,退休,,,,,,,,,,,,,,,,
175,宋洪武,男,汉族,4/1/1952,河南省,安阳市,滑县,硕士,12/1/1983,在职,,,,,,,,,,,,,,,,
176,王忠民,男,汉族,10/1/1957,陕西省,渭南市,蒲城县,博士后,4/1/1985,在职,,,,,,,,,,,,,,,,
177,王登记,男,汉族,11/1/1954,陕西省,延安市,黄陵县,专科,2/1/1975,立案查处,,贪污腐败,,否,10/28/2014,,,,,,,,,,,
178,胡志强,男,汉族,10/1/1963,山西省,长治市,,硕士,12/1/1985,在职,,,,,,,,,,,,,,,,
179,李金柱,男,汉族,2/1/1955,河北省,沧州市,,硕士,5/1/1976,在职,,,,,,,,,,,,,,,,
180,周一波,男,汉族,12/1/1953,陕西省,商洛市,丹凤县,硕士,3/1/1977,退休,,,,,,,,,,,,,,,,
181,郭永平,男,汉族,2/1/1954,陕西省,汉中市,勉县,硕士,6/1/1975,在职,,,,,,,,,,,,,,,,
182,陆治原,男,汉族,8/1/1964,陕西省,榆林市,绥德县,博士,11/1/1987,在职,,,,,,,,,,,,,,,,
183,胡润泽,男,汉族,12/1/1958,陕西省,安康市,岚皋县,硕士,9/1/1980,在职,,,,,,,,,,,,,,,,
184,赵乐秦,男,汉族,1/1/1960,陕西省,西安市,,硕士,11/1/1983,在职,,,,,,,,,,,,,,,,
185,张会民,男,汉族,4/1/1955,陕西省,渭南市,蒲城县,硕士,1/1/1975,在职,,,,,,,,,,,,,,,,
186,田杰,男,汉族,1/1/1958,天津市,,,硕士,10/1/1983,退休,,,,,,,,,,,,,,,,
187,王成文,男,汉族,12/1/1957,陕西省,渭南市,澄城县,硕士,4/1/1976,在职,,,,,,,,,,,,,,,,
188,胡悦,男,汉族,5/1/1954,陕西省,铜川市,耀县,硕士,5/1/1972,在职,,,,,,,,,,,,,,,,
189,张社年,男,汉族,11/1/1956,陕西省,渭南市,合阳县,硕士,,在职,,,,,,,,,,,,,,,,
190,陈强(河南省),男,汉族,12/1/1957,河南省,焦作市,孟县,硕士,10/1/1977,在职,,,,,,,,,,,,,,,,
191,梁宏贤,男,汉族,10/1/1958,陕西省,榆林市,绥德县,硕士,8/1/1983,在职,,,,,,,,,,,,,,,,
192,姚引良,男,汉族,7/1/1956,陕西省,西安市,户县,硕士,1/1/1975,在职,,,,,,,,,,,,,,,,
193,王侠,女,汉族,5/1/1954,陕西省,榆林市,清涧县,硕士,7/1/1974,在职,,,,,,,,,,,,,,,,
194,李希,男,汉族,10/1/1956,甘肃省,陇南市,两当县,硕士,1/1/1982,在职,,,,,,,,,,,,,,,,
195,高宜新,男,汉族,1/1/1943,陕西省,榆林市,佳县,本科,10/1/1965,退休,,,,,,,,,,,,,,,,
196,徐新荣,男,汉族,4/1/1962,陕西省,咸阳市,乾县,硕士,6/1/1984,在职,,,,,,,,,,,,,,,,
197,曹莉莉,女,汉族,1/1/1954,陕西省,榆林市,,硕士,3/1/1973,在职,,,,,,,,,,,,,,,,
198,王东峰,男,汉族,2/1/1958,陕西省,西安市,,硕士,11/1/1980,在职,,,,,,,,,,,,,,,,
199,庄长兴,男,汉族,11/1/1962,陕西省,汉中市,勉县,硕士,5/1/1983,在职,,,,,,,,,,,,,,,,
200,梁凤民,男,汉族,4/1/1955,陕西省,咸阳市,三原县,本科,3/1/1981,在职,,,,,,,,,,,,,,,,
201,王儒林,男,汉族,4/1/1953,河南省,濮阳市,,硕士,11/1/1973,在职,,,,,,,,,,,,,,,,
202,杜学芳,女,汉族,2/1/1949,河北省,廊坊市,大城县,硕士,5/1/1972,在职,,,,,,,,,,,,,,,,
203,米凤君,男,回族,8/1/1942,山东省,德州市,禹城县,本科,,立案查处,是,贪污腐败,,否,4/28/2008,中纪委,是,受贿罪,人民币628万元,5/28/2011,天津市,,死缓,否,,
204,高广滨,男,汉族,5/1/1963,黑龙江省,哈尔滨市,,博士,6/1/1984,在职,,,,,,,,,,,,,,,,
205,李述,男,汉族,4/1/1944,,,,本科,,退休,,,,,,,,,,,,,,,,
206,祝业精,男,汉族,4/1/1947,辽宁省,铁岭市,,博士,,退休,,,,,,,,,,,,,,,,
207,崔杰,男,汉族,7/1/1953,河北省,唐山市,乐亭县,硕士,10/1/1973,在职,,,,,,,,,,,,,,,,
208,姜治莹,男,汉族,3/1/1961,吉林省,延边朝鲜族自治州,敦化县,博士,,在职,,,,,,,,,,,,,,,,
209,王照环,男,汉族,,,,,本科,,退休,,,,,,,,,,,,,,,,
