,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
989,李成玉,男,回族,8/1/1946,宁夏回族自治区,中卫市,海原县,不详,8/1/1971,在职,,,,,,,,,,,,,,,,
990,曹维新,男,汉族,12/1/1950,吉林省,吉林市,蛟河县,本科,6/1/1971,退休,,,,,,,,,,,,,,,,
991,王明义,男,汉族,7/1/1945,河南省,周口市,鹿邑县,本科,11/1/1965,退休,,,,,,,,,,,,,,,,
992,张国光,男,汉族,4/1/1945,辽宁省,葫芦岛市,绥中县,本科,2/1/1966,立案查处,是,贪污腐败,,否,2/1/2004,中纪委,是,受贿罪,572288元人民币,12/9/2004,天津市,天津市,11年有期徒刑,否,,
993,罗清泉,男,汉族,11/1/1945,湖北省,荆州市,江陵县,硕士,12/1/1975,在职,,,,,,,,,,,,,,,,
994,李鸿忠,男,汉族,1/1/1956,山东省,潍坊市,昌乐县,本科,12/1/1976,在职,,,,,,,,,,,,,,,,
995,蒋祝平,男,汉族,11/1/1937,江苏省,无锡市,宜兴市,本科,3/1/1960,退休,,,,,,,,,,,,,,,,
996,周济,男,汉族,8/1/1946,上海市,,,博士,7/1/1976,在职,,,,,,,,,,,,,,,,
997,李宪生,男,汉族,9/1/1954,山西省,太原市,阳曲县,博士,3/1/1973,在职,,,,,,,,,,,,,,,,
998,阮成发,男,汉族,10/1/1957,湖北省,武汉市,,博士,6/1/1982,在职,,,,,,,,,,,,,,,,
999,陈训秋,男,汉族,10/1/1955,湖南省,益阳市,沅江市,硕士,6/1/1976,在职,,,,,,,,,,,,,,,,
1000,苗圩,男,汉族,5/1/1955,北京市,,,硕士,9/1/1984,在职,,,,,,,,,,,,,,,,
1001,杨松,男,汉族,11/1/1950,河北省,沧州市,海兴县,本科,4/1/1975,在职,,,,,,,,,,,,,,,,
1002,肖旭明,男,汉族,3/1/1955,湖北省,黄冈市,蕲春县,本科,6/1/1975,在职,,,,,,,,,,,,,,,,
1003,王建鸣,男,汉族,6/1/1957,河北省,衡水市,武邑县,硕士,6/1/1976,在职,,,,,,,,,,,,,,,,
1004,杨晓波,男,汉族,1/1/1963,湖北省,,天门市（副地级）,硕士,5/1/1988,在职,,,,,,,,,,,,,,,,
1005,任世茂,男,汉族,10/1/1949,湖北省,十堰市,房县,硕士,3/1/1974,退休,,,,,,,,,,,,,,,,
1006,周先旺,男,土家族,11/1/1963,湖北省,恩施土家族苗族自治州,建始县,本科,1/1/1987,在职,,,,,,,,,,,,,,,,
